id_funcionalidad,nombre,etapa_dlc,estado,descripcion,evidencia_ruta,notas
DLC-004,Control plane gestión empresas,QA,completado,TenantOperatorsScopedTest TenantModuleCatalogTest,tests/Feature/Control/TenantOperatorsScopedTest.php,
DLC-004,Control plane gestión empresas,Producción,parcial,Provisioning parcial según runbooks,docs/production/Runbook_Onboarding_Cliente.md,
DLC-005,Simulación cliente,Intent,completado,Rehearsal staging sin ambigüedad operativa,docs/production/Plan_SimulacionClientes.md,
DLC-005,Simulación cliente,Requerimiento,completado,platform:simulate-client y fixtures,docs/production/Plan_de_implementacion.md §1.1,
DLC-005,Simulación cliente,Diseño,completado,Runbooks simulación cliente,docs/production/Runbook_Simulacion_Cliente.md,
DLC-005,Simulación cliente,Desarrollo,completado,SimulateClientCommand simulation_runs,app/Console/Commands/SimulateClientCommand.php,
DLC-005,Simulación cliente,QA,completado,E2E ClientProductionLikeSimulationTest MultiClientFixtureSimulationTest,tests/E2E/Middleware/ClientProductionLikeSimulationTest.php,
DLC-005,Simulación cliente,Producción,parcial,Laboratorio y staging no autogestión,docs/personal_notes/Release_decision_QA.md,
DLC-006,Integraciones webhooks,Intent,completado,Conectores externos al bus,docs/production/Plan_Integraciones.md,
DLC-006,Integraciones webhooks,Requerimiento,completado,Webhook ingress HMAC CRUD integraciones,docs/production/Plan_Integraciones.md §4,
DLC-006,Integraciones webhooks,Diseño,completado,Flujo channel→adapter→publish,docs/production/Plan_Integraciones.md §5,
DLC-006,Integraciones webhooks,Desarrollo,completado,Bounded context Integration,app/Integration/Interfaces/Providers/IntegrationServiceProvider.php,
DLC-006,Integraciones webhooks,QA,completado,WebhookIngressTest IntegrationAdminApiTest,tests/Feature/Integration/WebhookIngressTest.php,
DLC-006,Integraciones webhooks,Producción,parcial,Tablas webhooks sin uso completo según Plan_de_implementacion §2.4,docs/production/Plan_de_implementacion.md §2.4,
DLC-007,Autenticación Sanctum RBAC,Intent,completado,Operadores sesión e integradores tokens,docs/production/Plan_Autenticacion.md,
DLC-007,Autenticación Sanctum RBAC,Requerimiento,completado,Roles abilities gates,config/platform_roles.php,
DLC-007,Autenticación Sanctum RBAC,Diseño,completado,ADR-002 defer enterprise OAuth2,docs/production/ADR_002_autenticacion_enterprise.md,
DLC-007,Autenticación Sanctum RBAC,Desarrollo,completado,IdentityServiceProvider SecurityServiceProvider,app/Providers/IdentityServiceProvider.php,
DLC-007,Autenticación Sanctum RBAC,QA,completado,PlatformApiAuthenticationTest RoleBasedAuthorizationTest,tests/Feature/Security/PlatformApiAuthenticationTest.php,
DLC-007,Autenticación Sanctum RBAC,Producción,parcial,Sin SSO LDAP Fase 3,docs/production/ADR_003_usuarios_enterprise.md,
DLC-008,Validación catálogo CI B.3,Intent,completado,Evitar divergencia eventbus vs modules_config,docs/production/Plan_de_implementacion.md §Fase B,
DLC-008,Validación catálogo CI B.3,Requerimiento,completado,platform:validate-catalog en CI,docs/production/Plan_de_implementacion.md §6,
DLC-008,Validación catálogo CI B.3,Diseño,completado,PlatformCatalogValidator,docs/testing/unit_configuracion_catalogo_declarativo.md,
DLC-008,Validación catálogo CI B.3,Desarrollo,completado,ValidatePlatformCatalogCommand,composer.json script ci,app/Console/Commands/ValidatePlatformCatalogCommand.php,
DLC-008,Validación catálogo CI B.3,QA,completado,ValidatePlatformCatalogTest,tests/Unit/Platform/ValidatePlatformCatalogTest.php,
DLC-008,Validación catálogo CI B.3,Producción,completado,Incluido en composer ci script,composer.json,
DLC-009,Observabilidad Prometheus alertas,Intent,completado,Métricas y alertas plataforma,docs/production/Plan_Observabilidad.md,
DLC-009,Observabilidad Prometheus alertas,Requerimiento,completado,/metrics correlation trace_logs,docs/production/Observabilidad.md,
DLC-009,Observabilidad Prometheus alertas,Diseño,completado,ADR-009 tracing incremental,docs/production/ADR_009_opentelemetry_distributed_tracing.md,
DLC-009,Observabilidad Prometheus alertas,Desarrollo,completado,ObservabilityServiceProvider MonitoringServiceProvider,app/Observability/Interfaces/Providers/ObservabilityServiceProvider.php,
DLC-009,Observabilidad Prometheus alertas,QA,completado,PrometheusMetricsEndpointTest CorrelationIdMiddlewareTest,tests/Feature/Observability/PrometheusMetricsEndpointTest.php,
DLC-009,Observabilidad Prometheus alertas,Producción,parcial,OTel completo diferido,docs/production/ADR_009_opentelemetry_distributed_tracing.md,
DLC-010,Config dinámica runtime cliente,Intent,documentado,Cliente configura módulos sin redeploy,docs/production/Plan_de_implementacion.md §1.1,
DLC-010,Config dinámica runtime cliente,Requerimiento,documentado,REQ-DYN-01 No cumple,docs/production/Plan_de_implementacion.md,
DLC-010,Config dinámica runtime cliente,Diseño,pendiente,Fase D multi-tenant o panel gobierno,docs/production/Plan_de_implementacion.md §Fase D,
DLC-010,Config dinámica runtime cliente,Desarrollo,no iniciado,Sin API panel unificada runtime,docs/production/Plan_de_implementacion.md §1.1,
DLC-010,Config dinámica runtime cliente,QA,no iniciado,NO_EVIDENCIADO,,
DLC-010,Config dinámica runtime cliente,Producción,no iniciado,Rechazado hasta Fase A+B+C según plan,docs/production/Plan_de_implementacion.md §5,
